"date","day","field","harvest","plant","shoot","shoot_height"
2017-06-09,5,"B","N","1","2",7.7
2017-06-09,5,"B","N","1","3",4.9
2017-06-09,5,"B","N","1","4",5.2
2017-06-09,5,"B","N","1","5",5.1
2017-06-09,5,"B","N","1","6",6
2017-06-09,5,"B","N","1","7",3.8
2017-06-09,5,"B","N","2","1",4.2
2017-06-09,5,"B","N","2","2",6.8
2017-06-09,5,"B","N","2","3",8
2017-06-09,5,"B","N","2","4",3.4
2017-06-09,5,"B","N","2","5",2.9
2017-06-09,5,"B","N","2","6",7.5
2017-06-09,5,"B","N","2","7",3.2
2017-06-09,5,"B","N","3","1",3.6
2017-06-09,5,"B","N","3","2",8.1
2017-06-09,5,"B","N","3","3",4
2017-06-09,5,"B","N","3","4",3.3
2017-06-09,5,"B","N","3","5",7.3
2017-06-09,5,"B","N","3","6",6.6
2017-06-09,5,"B","N","3","7",3
2017-06-09,5,"B","N","4","1",7.9
2017-06-09,5,"B","N","4","2",4
2017-06-09,5,"B","N","4","3",5.1
2017-06-09,5,"B","N","4","4",11.1
2017-06-09,5,"B","N","4","5",9.8
2017-06-09,5,"B","N","4","6",3
2017-06-09,5,"B","N","4","7",3
2017-06-09,5,"B","N","5","1",3
2017-06-09,5,"B","N","5","2",4.4
2017-06-09,5,"B","N","5","3",3.2
2017-06-09,5,"B","N","5","4",2.3
2017-06-09,5,"B","N","5","5",1.4
2017-06-09,5,"B","N","5","6",3.8
2017-06-09,5,"B","N","5","7",6
2017-06-09,5,"B","N","6","1",9
2017-06-09,5,"B","N","6","2",4.4
2017-06-09,5,"B","N","6","3",5.7
2017-06-09,5,"B","N","6","4",3.7
2017-06-09,5,"B","N","6","5",2.1
2017-06-09,5,"B","N","6","6",6.5
2017-06-09,5,"B","N","6","7",3.2
2017-06-09,5,"B","N","7","1",1.7
2017-06-09,5,"B","N","7","2",1.5
2017-06-09,5,"B","N","7","3",2.7
2017-06-09,5,"B","N","7","4",12.3
2017-06-09,5,"B","N","7","5",2.7
2017-06-09,5,"B","N","7","6",1.9
2017-06-09,5,"B","N","7","7",4.7
2017-06-09,5,"B","N","8","1",5.5
2017-06-09,5,"B","N","8","2",6.4
2017-06-09,5,"B","N","8","3",4.9
2017-06-09,5,"B","N","8","4",3.5
2017-06-09,5,"B","N","8","5",2.4
2017-06-09,5,"B","N","8","6",2.6
2017-06-09,5,"B","N","8","7",0.9
2017-06-09,5,"B","N","9","1",2.8
2017-06-09,5,"B","N","9","2",4.5
2017-06-09,5,"B","N","9","3",3.5
2017-06-09,5,"B","N","9","4",6.3
2017-06-09,5,"B","N","9","5",4
2017-06-09,5,"B","N","9","6",4.5
2017-06-09,5,"B","N","9","7",2.8
2017-06-09,5,"B","N","10","1",2.2
2017-06-09,5,"B","N","10","2",2.3
2017-06-09,5,"B","N","10","3",2.5
2017-06-09,5,"B","N","10","4",4.5
2017-06-09,5,"B","N","10","5",4.3
2017-06-09,5,"B","N","10","6",1.5
2017-06-09,5,"B","N","10","7",4.6
2017-06-10,6,"A","N","1","1",4.6
2017-06-10,6,"A","N","1","2",5.5
2017-06-10,6,"A","N","1","3",4.8
2017-06-10,6,"A","N","1","4",8.4
2017-06-10,6,"A","N","1","5",3
2017-06-10,6,"A","N","1","6",3.5
2017-06-10,6,"A","N","1","7",3.5
2017-06-10,6,"A","N","2","1",4.2
2017-06-10,6,"A","N","2","2",4.1
2017-06-10,6,"A","N","2","3",2.6
2017-06-10,6,"A","N","2","4",5
2017-06-10,6,"A","N","2","5",2.2
2017-06-10,6,"A","N","2","6",NA
2017-06-10,6,"A","N","2","7",4.6
2017-06-10,6,"A","N","3","1",3.1
2017-06-10,6,"A","N","3","2",5.2
2017-06-10,6,"A","N","3","3",5
2017-06-10,6,"A","N","3","4",2.6
2017-06-10,6,"A","N","3","5",2.6
2017-06-10,6,"A","N","3","6",NA
2017-06-10,6,"A","N","3","7",5.7
2017-06-10,6,"A","N","4","1",1.9
2017-06-10,6,"A","N","4","2",6.1
2017-06-10,6,"A","N","4","3",5.7
2017-06-10,6,"A","N","4","4",4.3
2017-06-10,6,"A","N","4","5",3.2
2017-06-10,6,"A","N","4","6",1.9
2017-06-10,6,"A","N","4","7",5.5
2017-06-10,6,"A","N","5","1",4.7
2017-06-10,6,"A","N","5","2",2.3
2017-06-10,6,"A","N","5","3",3.1
2017-06-10,6,"A","N","5","4",6.5
2017-06-10,6,"A","N","5","5",3
2017-06-10,6,"A","N","5","6",3.8
2017-06-10,6,"A","N","5","7",3.3
2017-06-10,6,"A","N","6","1",3.5
2017-06-10,6,"A","N","6","2",2.4
2017-06-10,6,"A","N","6","3",2.7
2017-06-10,6,"A","N","6","4",2.6
2017-06-10,6,"A","N","6","5",3
2017-06-10,6,"A","N","6","6",4
2017-06-10,6,"A","N","6","7",1.4
2017-06-10,6,"A","N","7","1",1.8
2017-06-10,6,"A","N","7","2",4.5
2017-06-10,6,"A","N","7","3",2.3
2017-06-10,6,"A","N","7","4",2.5
2017-06-10,6,"A","N","7","5",1.9
2017-06-10,6,"A","N","7","6",4.3
2017-06-10,6,"A","N","7","7",2.5
2017-06-10,6,"A","N","8","1",4.3
2017-06-10,6,"A","N","8","2",5
2017-06-10,6,"A","N","8","3",3.7
2017-06-10,6,"A","N","8","4",4.6
2017-06-10,6,"A","N","8","5",3.5
2017-06-10,6,"A","N","8","6",1.5
2017-06-10,6,"A","N","8","7",2.3
2017-06-10,6,"A","N","9","1",3.5
2017-06-10,6,"A","N","9","2",4.6
2017-06-10,6,"A","N","9","3",2.7
2017-06-10,6,"A","N","9","4",2.8
2017-06-10,6,"A","N","9","5",2
2017-06-10,6,"A","N","9","6",1.7
2017-06-10,6,"A","N","9","7",4
2017-06-10,6,"A","N","10","1",7.1
2017-06-10,6,"A","N","10","2",2.3
2017-06-10,6,"A","N","10","3",2.4
2017-06-10,6,"A","N","10","4",4.3
2017-06-10,6,"A","N","10","5",5.2
2017-06-10,6,"A","N","10","6",2.5
2017-06-10,6,"A","N","10","7",4
2017-06-10,6,"B","Y","1","1",2.1
2017-06-10,6,"B","Y","1","2",2.4
2017-06-10,6,"B","Y","1","3",4.9
2017-06-10,6,"B","Y","1","4",4
2017-06-10,6,"B","Y","1","5",2.2
2017-06-10,6,"B","Y","1","6",1.9
2017-06-10,6,"B","Y","1","7",3.2
2017-06-10,6,"B","Y","2","1",2.5
2017-06-10,6,"B","Y","2","2",3.5
2017-06-10,6,"B","Y","2","3",1.5
2017-06-10,6,"B","Y","2","4",2
2017-06-10,6,"B","Y","2","5",3.1
2017-06-10,6,"B","Y","2","6",3.7
2017-06-10,6,"B","Y","2","7",3.6
2017-06-10,6,"B","Y","3","1",1.7
2017-06-10,6,"B","Y","3","2",1.9
2017-06-10,6,"B","Y","3","3",3.5
2017-06-10,6,"B","Y","3","4",1.5
2017-06-10,6,"B","Y","3","5",2.8
2017-06-10,6,"B","Y","3","6",1.9
2017-06-10,6,"B","Y","3","7",3.4
2017-06-10,6,"B","Y","4","1",1.9
2017-06-10,6,"B","Y","4","2",1.7
2017-06-10,6,"B","Y","4","3",3.1
2017-06-10,6,"B","Y","4","4",1.7
2017-06-10,6,"B","Y","4","5",2
2017-06-10,6,"B","Y","4","6",3.3
2017-06-10,6,"B","Y","4","7",4.2
2017-06-10,6,"B","Y","5","1",2
2017-06-10,6,"B","Y","5","2",2.8
2017-06-10,6,"B","Y","5","3",3.3
2017-06-10,6,"B","Y","5","4",2.2
2017-06-10,6,"B","Y","5","5",2.1
2017-06-10,6,"B","Y","5","6",1.6
2017-06-10,6,"B","Y","5","7",1
2017-06-10,6,"B","Y","6","1",3.3
2017-06-10,6,"B","Y","6","2",4.4
2017-06-10,6,"B","Y","6","3",4.1
2017-06-10,6,"B","Y","6","4",2.8
2017-06-10,6,"B","Y","6","5",3.5
2017-06-10,6,"B","Y","6","6",3.7
2017-06-10,6,"B","Y","6","7",1
2017-06-10,6,"B","Y","7","1",3.3
2017-06-10,6,"B","Y","7","2",2.3
2017-06-10,6,"B","Y","7","3",4
2017-06-10,6,"B","Y","7","4",2.5
2017-06-10,6,"B","Y","7","5",2
2017-06-10,6,"B","Y","7","6",3.3
2017-06-10,6,"B","Y","7","7",3.6
2017-06-10,6,"B","Y","8","1",2.7
2017-06-10,6,"B","Y","8","2",3
2017-06-10,6,"B","Y","8","3",4.1
2017-06-10,6,"B","Y","8","4",2
2017-06-10,6,"B","Y","8","5",2.1
2017-06-10,6,"B","Y","8","6",2.2
2017-06-10,6,"B","Y","8","7",2.1
2017-06-10,6,"B","Y","9","1",3.5
2017-06-10,6,"B","Y","9","2",2.9
2017-06-10,6,"B","Y","9","3",3
2017-06-10,6,"B","Y","9","4",1.4
2017-06-10,6,"B","Y","9","5",2.3
2017-06-10,6,"B","Y","9","6",2.4
2017-06-10,6,"B","Y","9","7",2.9
2017-06-10,6,"B","Y","10","1",2.8
2017-06-10,6,"B","Y","10","2",1.4
2017-06-10,6,"B","Y","10","3",3.5
2017-06-10,6,"B","Y","10","4",3.9
2017-06-10,6,"B","Y","10","5",2.1
2017-06-10,6,"B","Y","10","6",2.3
2017-06-10,6,"B","Y","10","7",1.7
2017-06-11,7,"A","N","1","1",4.7
2017-06-11,7,"A","N","1","2",6.3
2017-06-11,7,"A","N","1","3",5
2017-06-11,7,"A","N","1","4",8.6
2017-06-11,7,"A","N","1","5",3
2017-06-11,7,"A","N","1","6",3.5
2017-06-11,7,"A","N","1","7",3.8
2017-06-11,7,"A","N","2","1",4.8
2017-06-11,7,"A","N","2","2",4.5
2017-06-11,7,"A","N","2","3",2.8
2017-06-11,7,"A","N","2","4",5.2
2017-06-11,7,"A","N","2","5",2.5
2017-06-11,7,"A","N","2","6",NA
2017-06-11,7,"A","N","2","7",4.5
2017-06-11,7,"A","N","3","1",3.5
2017-06-11,7,"A","N","3","2",5.4
2017-06-11,7,"A","N","3","3",5.5
2017-06-11,7,"A","N","3","4",2.8
2017-06-11,7,"A","N","3","5",1.7
2017-06-11,7,"A","N","3","6",NA
2017-06-11,7,"A","N","3","7",6.4
2017-06-11,7,"A","N","4","1",1.8
2017-06-11,7,"A","N","4","2",5.7
2017-06-11,7,"A","N","4","3",5.8
2017-06-11,7,"A","N","4","4",4.3
2017-06-11,7,"A","N","4","5",3.5
2017-06-11,7,"A","N","4","6",1.8
2017-06-11,7,"A","N","4","7",6.3
2017-06-11,7,"A","N","5","1",4.7
2017-06-11,7,"A","N","5","2",3.1
2017-06-11,7,"A","N","5","3",3
2017-06-11,7,"A","N","5","4",7.5
2017-06-11,7,"A","N","5","5",2.9
2017-06-11,7,"A","N","5","6",4.5
2017-06-11,7,"A","N","5","7",3.5
2017-06-11,7,"A","N","6","1",3.9
2017-06-11,7,"A","N","6","2",2.8
2017-06-11,7,"A","N","6","3",3.1
2017-06-11,7,"A","N","6","4",3
2017-06-11,7,"A","N","6","5",3
2017-06-11,7,"A","N","6","6",4.8
2017-06-11,7,"A","N","6","7",1.6
2017-06-11,7,"A","N","7","1",1.7
2017-06-11,7,"A","N","7","2",4.8
2017-06-11,7,"A","N","7","3",2.5
2017-06-11,7,"A","N","7","4",2.7
2017-06-11,7,"A","N","7","5",2
2017-06-11,7,"A","N","7","6",4.7
2017-06-11,7,"A","N","7","7",2.5
2017-06-11,7,"A","N","8","1",5
2017-06-11,7,"A","N","8","2",5.3
2017-06-11,7,"A","N","8","3",4.4
2017-06-11,7,"A","N","8","4",4.7
2017-06-11,7,"A","N","8","5",3.7
2017-06-11,7,"A","N","8","6",1.4
2017-06-11,7,"A","N","8","7",4
2017-06-11,7,"A","N","9","1",3.8
2017-06-11,7,"A","N","9","2",6
2017-06-11,7,"A","N","9","3",3
2017-06-11,7,"A","N","9","4",3
2017-06-11,7,"A","N","9","5",2.4
2017-06-11,7,"A","N","9","6",NA
2017-06-11,7,"A","N","9","7",4.6
2017-06-11,7,"A","N","10","1",7.3
2017-06-11,7,"A","N","10","2",2.7
2017-06-11,7,"A","N","10","3",2.4
2017-06-11,7,"A","N","10","4",5.3
2017-06-11,7,"A","N","10","5",6.8
2017-06-11,7,"A","N","10","6",2.8
2017-06-11,7,"A","N","10","7",4.2
2017-06-11,7,"B","N","1","1",2.3
2017-06-11,7,"B","N","1","2",2.6
2017-06-11,7,"B","N","1","3",5.6
2017-06-11,7,"B","N","1","4",4.1
2017-06-11,7,"B","N","1","5",2.3
2017-06-11,7,"B","N","1","6",2.7
2017-06-11,7,"B","N","1","7",3.8
2017-06-11,7,"B","N","2","1",2.7
2017-06-11,7,"B","N","2","2",3.9
2017-06-11,7,"B","N","2","3",1.5
2017-06-11,7,"B","N","2","4",2.3
2017-06-11,7,"B","N","2","5",3.5
2017-06-11,7,"B","N","2","6",3.9
2017-06-11,7,"B","N","2","7",4.1
2017-06-11,7,"B","N","3","1",2
2017-06-11,7,"B","N","3","2",2.5
2017-06-11,7,"B","N","3","3",4
2017-06-11,7,"B","N","3","4",1.5
2017-06-11,7,"B","N","3","5",3.5
2017-06-11,7,"B","N","3","6",2.2
2017-06-11,7,"B","N","3","7",3.5
2017-06-11,7,"B","N","4","1",2.1
2017-06-11,7,"B","N","4","2",2.3
2017-06-11,7,"B","N","4","3",3.8
2017-06-11,7,"B","N","4","4",2.1
2017-06-11,7,"B","N","4","5",2.5
2017-06-11,7,"B","N","4","6",3.4
2017-06-11,7,"B","N","4","7",4.4
2017-06-11,7,"B","N","5","1",2.4
2017-06-11,7,"B","N","5","2",2.8
2017-06-11,7,"B","N","5","3",3.9
2017-06-11,7,"B","N","5","4",2.9
2017-06-11,7,"B","N","5","5",2.5
2017-06-11,7,"B","N","5","6",1.8
2017-06-11,7,"B","N","5","7",1.3
2017-06-11,7,"B","N","6","1",4
2017-06-11,7,"B","N","6","2",5.1
2017-06-11,7,"B","N","6","3",4.8
2017-06-11,7,"B","N","6","4",2.3
2017-06-11,7,"B","N","6","5",3.9
2017-06-11,7,"B","N","6","6",4.2
2017-06-11,7,"B","N","6","7",1
2017-06-11,7,"B","N","7","1",3.7
2017-06-11,7,"B","N","7","2",2.4
2017-06-11,7,"B","N","7","3",4.2
2017-06-11,7,"B","N","7","4",2.5
2017-06-11,7,"B","N","7","5",1.7
2017-06-11,7,"B","N","7","6",3.8
2017-06-11,7,"B","N","7","7",4
2017-06-11,7,"B","N","8","1",3.4
2017-06-11,7,"B","N","8","2",3.2
2017-06-11,7,"B","N","8","3",3.6
2017-06-11,7,"B","N","8","4",2.5
2017-06-11,7,"B","N","8","5",2.5
2017-06-11,7,"B","N","8","6",1.7
2017-06-11,7,"B","N","8","7",2.3
2017-06-11,7,"B","N","9","1",3.7
2017-06-11,7,"B","N","9","2",2.9
2017-06-11,7,"B","N","9","3",3.5
2017-06-11,7,"B","N","9","4",2
2017-06-11,7,"B","N","9","5",2.3
2017-06-11,7,"B","N","9","6",2.7
2017-06-11,7,"B","N","9","7",3
2017-06-11,7,"B","N","10","1",3.1
2017-06-11,7,"B","N","10","2",1.7
2017-06-11,7,"B","N","10","3",4
2017-06-11,7,"B","N","10","4",4.2
2017-06-11,7,"B","N","10","5",1.8
2017-06-11,7,"B","N","10","6",2.5
2017-06-11,7,"B","N","10","7",2
2017-06-12,8,"A","N","1","1",4.5
2017-06-12,8,"A","N","1","2",7
2017-06-12,8,"A","N","1","3",5.2
2017-06-12,8,"A","N","1","4",8.9
2017-06-12,8,"A","N","1","5",3.4
2017-06-12,8,"A","N","1","6",3.8
2017-06-12,8,"A","N","1","7",5
2017-06-12,8,"A","N","2","1",4.9
2017-06-12,8,"A","N","2","2",5.2
2017-06-12,8,"A","N","2","3",2.9
2017-06-12,8,"A","N","2","4",5.6
2017-06-12,8,"A","N","2","5",2.5
2017-06-12,8,"A","N","2","6",NA
2017-06-12,8,"A","N","2","7",5
2017-06-12,8,"A","N","3","1",4.3
2017-06-12,8,"A","N","3","2",5.6
2017-06-12,8,"A","N","3","3",5.7
2017-06-12,8,"A","N","3","4",2.7
2017-06-12,8,"A","N","3","5",3.2
2017-06-12,8,"A","N","3","6",NA
2017-06-12,8,"A","N","3","7",6.8
2017-06-12,8,"A","N","4","1",2
2017-06-12,8,"A","N","4","2",5.7
2017-06-12,8,"A","N","4","3",6.3
2017-06-12,8,"A","N","4","4",4.5
2017-06-12,8,"A","N","4","5",3.7
2017-06-12,8,"A","N","4","6",1.9
2017-06-12,8,"A","N","4","7",6.7
2017-06-12,8,"A","N","5","1",4.8
2017-06-12,8,"A","N","5","2",2.5
2017-06-12,8,"A","N","5","3",3.4
2017-06-12,8,"A","N","5","4",8.1
2017-06-12,8,"A","N","5","5",3
2017-06-12,8,"A","N","5","6",4.9
2017-06-12,8,"A","N","5","7",4
2017-06-12,8,"A","N","6","1",4.4
2017-06-12,8,"A","N","6","2",3
2017-06-12,8,"A","N","6","3",3.2
2017-06-12,8,"A","N","6","4",3.5
2017-06-12,8,"A","N","6","5",3.6
2017-06-12,8,"A","N","6","6",5
2017-06-12,8,"A","N","6","7",1.7
2017-06-12,8,"A","N","7","1",1.9
2017-06-12,8,"A","N","7","2",4.5
2017-06-12,8,"A","N","7","3",2.6
2017-06-12,8,"A","N","7","4",2.9
2017-06-12,8,"A","N","7","5",2.4
2017-06-12,8,"A","N","7","6",5.2
2017-06-12,8,"A","N","7","7",2.6
2017-06-12,8,"A","N","8","1",5.1
2017-06-12,8,"A","N","8","2",5.9
2017-06-12,8,"A","N","8","3",4.3
2017-06-12,8,"A","N","8","4",5.1
2017-06-12,8,"A","N","8","5",3.9
2017-06-12,8,"A","N","8","6",1.5
2017-06-12,8,"A","N","8","7",4.2
2017-06-12,8,"A","N","9","1",4.2
2017-06-12,8,"A","N","9","2",6.4
2017-06-12,8,"A","N","9","3",3.3
2017-06-12,8,"A","N","9","4",3.2
2017-06-12,8,"A","N","9","5",2.5
2017-06-12,8,"A","N","9","6",NA
2017-06-12,8,"A","N","9","7",4.8
2017-06-12,8,"A","N","10","1",7.9
2017-06-12,8,"A","N","10","2",2.8
2017-06-12,8,"A","N","10","3",2.5
2017-06-12,8,"A","N","10","4",5.7
2017-06-12,8,"A","N","10","5",7.1
2017-06-12,8,"A","N","10","6",3
2017-06-12,8,"A","N","10","7",4.5
2017-06-12,8,"B","N","1","1",2.5
2017-06-12,8,"B","N","1","2",2.7
2017-06-12,8,"B","N","1","3",5.7
2017-06-12,8,"B","N","1","4",4.5
2017-06-12,8,"B","N","1","5",2.5
2017-06-12,8,"B","N","1","6",3
2017-06-12,8,"B","N","1","7",4.1
2017-06-12,8,"B","N","2","1",2.7
2017-06-12,8,"B","N","2","2",4.7
2017-06-12,8,"B","N","2","3",1.6
2017-06-12,8,"B","N","2","4",2.6
2017-06-12,8,"B","N","2","5",4.1
2017-06-12,8,"B","N","2","6",5.1
2017-06-12,8,"B","N","2","7",4.4
2017-06-12,8,"B","N","3","1",2.5
2017-06-12,8,"B","N","3","2",3
2017-06-12,8,"B","N","3","3",4
2017-06-12,8,"B","N","3","4",1.9
2017-06-12,8,"B","N","3","5",4.1
2017-06-12,8,"B","N","3","6",2.3
2017-06-12,8,"B","N","3","7",3.5
2017-06-12,8,"B","N","4","1",2.5
2017-06-12,8,"B","N","4","2",2.6
2017-06-12,8,"B","N","4","3",3.8
2017-06-12,8,"B","N","4","4",2
2017-06-12,8,"B","N","4","5",2.9
2017-06-12,8,"B","N","4","6",3.8
2017-06-12,8,"B","N","4","7",4.2
2017-06-12,8,"B","N","5","1",2.7
2017-06-12,8,"B","N","5","2",3.1
2017-06-12,8,"B","N","5","3",4.5
2017-06-12,8,"B","N","5","4",3.3
2017-06-12,8,"B","N","5","5",2.8
2017-06-12,8,"B","N","5","6",2.3
2017-06-12,8,"B","N","5","7",1.3
2017-06-12,8,"B","N","6","1",4.7
2017-06-12,8,"B","N","6","2",5.5
2017-06-12,8,"B","N","6","3",5
2017-06-12,8,"B","N","6","4",3.1
2017-06-12,8,"B","N","6","5",4
2017-06-12,8,"B","N","6","6",4.5
2017-06-12,8,"B","N","6","7",1.1
2017-06-12,8,"B","N","7","1",3.7
2017-06-12,8,"B","N","7","2",2.9
2017-06-12,8,"B","N","7","3",4.3
2017-06-12,8,"B","N","7","4",2.9
2017-06-12,8,"B","N","7","5",2.1
2017-06-12,8,"B","N","7","6",4
2017-06-12,8,"B","N","7","7",4.7
2017-06-12,8,"B","N","8","1",3.6
2017-06-12,8,"B","N","8","2",3.6
2017-06-12,8,"B","N","8","3",3.5
2017-06-12,8,"B","N","8","4",3
2017-06-12,8,"B","N","8","5",2.9
2017-06-12,8,"B","N","8","6",2.5
2017-06-12,8,"B","N","8","7",2.4
2017-06-12,8,"B","N","9","1",4
2017-06-12,8,"B","N","9","2",3.3
2017-06-12,8,"B","N","9","3",3.6
2017-06-12,8,"B","N","9","4",1.9
2017-06-12,8,"B","N","9","5",2.6
2017-06-12,8,"B","N","9","6",2.7
2017-06-12,8,"B","N","9","7",3.2
2017-06-12,8,"B","N","10","1",3.2
2017-06-12,8,"B","N","10","2",1.6
2017-06-12,8,"B","N","10","3",4.5
2017-06-12,8,"B","N","10","4",5.5
2017-06-12,8,"B","N","10","5",2.4
2017-06-12,8,"B","N","10","6",2.5
2017-06-12,8,"B","N","10","7",2.4
2017-06-13,9,"A","N","1","1",5
2017-06-13,9,"A","N","1","2",7.4
2017-06-13,9,"A","N","1","3",5.4
2017-06-13,9,"A","N","1","4",8.9
2017-06-13,9,"A","N","1","5",3.7
2017-06-13,9,"A","N","1","6",4
2017-06-13,9,"A","N","1","7",4.4
2017-06-13,9,"A","N","2","1",5.7
2017-06-13,9,"A","N","2","2",5.2
2017-06-13,9,"A","N","2","3",3.5
2017-06-13,9,"A","N","2","4",5.9
2017-06-13,9,"A","N","2","5",2.2
2017-06-13,9,"A","N","2","6",NA
2017-06-13,9,"A","N","2","7",5.1
2017-06-13,9,"A","N","3","1",5.2
2017-06-13,9,"A","N","3","2",5.9
2017-06-13,9,"A","N","3","3",6
2017-06-13,9,"A","N","3","4",2.7
2017-06-13,9,"A","N","3","5",3.2
2017-06-13,9,"A","N","3","6",NA
2017-06-13,9,"A","N","3","7",7.7
2017-06-13,9,"A","N","4","1",2.3
2017-06-13,9,"A","N","4","2",5.9
2017-06-13,9,"A","N","4","3",6.9
2017-06-13,9,"A","N","4","4",4.8
2017-06-13,9,"A","N","4","5",4
2017-06-13,9,"A","N","4","6",2
2017-06-13,9,"A","N","4","7",7
2017-06-13,9,"A","N","5","1",5.1
2017-06-13,9,"A","N","5","2",3.1
2017-06-13,9,"A","N","5","3",3.4
2017-06-13,9,"A","N","5","4",9.2
2017-06-13,9,"A","N","5","5",3
2017-06-13,9,"A","N","5","6",5.6
2017-06-13,9,"A","N","5","7",4
2017-06-13,9,"A","N","6","1",4.7
2017-06-13,9,"A","N","6","2",3.4
2017-06-13,9,"A","N","6","3",3.5
2017-06-13,9,"A","N","6","4",4.3
2017-06-13,9,"A","N","6","5",3.7
2017-06-13,9,"A","N","6","6",5.6
2017-06-13,9,"A","N","6","7",1.7
2017-06-13,9,"A","N","7","1",2.1
2017-06-13,9,"A","N","7","2",5.5
2017-06-13,9,"A","N","7","3",2.6
2017-06-13,9,"A","N","7","4",3.3
2017-06-13,9,"A","N","7","5",2.6
2017-06-13,9,"A","N","7","6",6
2017-06-13,9,"A","N","7","7",2.9
2017-06-13,9,"A","N","8","1",5.5
2017-06-13,9,"A","N","8","2",6.5
2017-06-13,9,"A","N","8","3",4.5
2017-06-13,9,"A","N","8","4",5.7
2017-06-13,9,"A","N","8","5",4.1
2017-06-13,9,"A","N","8","6",1.6
2017-06-13,9,"A","N","8","7",4.5
2017-06-13,9,"A","N","9","1",4.4
2017-06-13,9,"A","N","9","2",7.5
2017-06-13,9,"A","N","9","3",3.7
2017-06-13,9,"A","N","9","4",3.5
2017-06-13,9,"A","N","9","5",2.8
2017-06-13,9,"A","N","9","6",NA
2017-06-13,9,"A","N","9","7",5.7
2017-06-13,9,"A","N","10","1",8.4
2017-06-13,9,"A","N","10","2",3
2017-06-13,9,"A","N","10","3",2.7
2017-06-13,9,"A","N","10","4",5.9
2017-06-13,9,"A","N","10","5",8.5
2017-06-13,9,"A","N","10","6",3.1
2017-06-13,9,"A","N","10","7",4.8
2017-06-13,9,"B","N","1","1",2.7
2017-06-13,9,"B","N","1","2",3.5
2017-06-13,9,"B","N","1","3",5.3
2017-06-13,9,"B","N","1","4",5.4
2017-06-13,9,"B","N","1","5",2.9
2017-06-13,9,"B","N","1","6",3.5
2017-06-13,9,"B","N","1","7",4.9
2017-06-13,9,"B","N","2","1",3.5
2017-06-13,9,"B","N","2","2",5.5
2017-06-13,9,"B","N","2","3",2
2017-06-13,9,"B","N","2","4",3.1
2017-06-13,9,"B","N","2","5",4.9
2017-06-13,9,"B","N","2","6",6
2017-06-13,9,"B","N","2","7",5
2017-06-13,9,"B","N","3","1",2.9
2017-06-13,9,"B","N","3","2",3.7
2017-06-13,9,"B","N","3","3",4.1
2017-06-13,9,"B","N","3","4",1.6
2017-06-13,9,"B","N","3","5",4.7
2017-06-13,9,"B","N","3","6",2.9
2017-06-13,9,"B","N","3","7",4
2017-06-13,9,"B","N","4","1",3.1
2017-06-13,9,"B","N","4","2",3.3
2017-06-13,9,"B","N","4","3",4.9
2017-06-13,9,"B","N","4","4",2.4
2017-06-13,9,"B","N","4","5",3.5
2017-06-13,9,"B","N","4","6",4.4
2017-06-13,9,"B","N","4","7",4.5
2017-06-13,9,"B","N","5","1",2.9
2017-06-13,9,"B","N","5","2",3.5
2017-06-13,9,"B","N","5","3",4.6
2017-06-13,9,"B","N","5","4",4.1
2017-06-13,9,"B","N","5","5",3
2017-06-13,9,"B","N","5","6",2.2
2017-06-13,9,"B","N","5","7",1.4
2017-06-13,9,"B","N","6","1",5.1
2017-06-13,9,"B","N","6","2",6.9
2017-06-13,9,"B","N","6","3",5.6
2017-06-13,9,"B","N","6","4",3.2
2017-06-13,9,"B","N","6","5",4.4
2017-06-13,9,"B","N","6","6",5
2017-06-13,9,"B","N","6","7",1.2
2017-06-13,9,"B","N","7","1",4.4
2017-06-13,9,"B","N","7","2",2.4
2017-06-13,9,"B","N","7","3",5
2017-06-13,9,"B","N","7","4",3.1
2017-06-13,9,"B","N","7","5",2.1
2017-06-13,9,"B","N","7","6",4.2
2017-06-13,9,"B","N","7","7",4.5
2017-06-13,9,"B","N","8","1",4
2017-06-13,9,"B","N","8","2",4.1
2017-06-13,9,"B","N","8","3",4.3
2017-06-13,9,"B","N","8","4",3.9
2017-06-13,9,"B","N","8","5",3.3
2017-06-13,9,"B","N","8","6",2.6
2017-06-13,9,"B","N","8","7",2.9
2017-06-13,9,"B","N","9","1",4.5
2017-06-13,9,"B","N","9","2",3.9
2017-06-13,9,"B","N","9","3",4.3
2017-06-13,9,"B","N","9","4",2.3
2017-06-13,9,"B","N","9","5",2.8
2017-06-13,9,"B","N","9","6",3.1
2017-06-13,9,"B","N","9","7",3.6
2017-06-13,9,"B","N","10","1",3.2
2017-06-13,9,"B","N","10","2",1.8
2017-06-13,9,"B","N","10","3",5.1
2017-06-13,9,"B","N","10","4",5.1
2017-06-13,9,"B","N","10","5",2.5
2017-06-13,9,"B","N","10","6",2.7
2017-06-13,9,"B","N","10","7",2.5
2017-06-14,10,"A","N","1","1",5.3
2017-06-14,10,"A","N","1","2",8
2017-06-14,10,"A","N","1","3",5.7
2017-06-14,10,"A","N","1","4",9
2017-06-14,10,"A","N","1","5",4
2017-06-14,10,"A","N","1","6",4.4
2017-06-14,10,"A","N","1","7",5.2
2017-06-14,10,"A","N","2","1",5.8
2017-06-14,10,"A","N","2","2",5.9
2017-06-14,10,"A","N","2","3",3.9
2017-06-14,10,"A","N","2","4",6.5
